PCT 11,,,,
Polling,125 21.48%,20 3.44% 6 1.03%,8,1.37%
Paper,0 -,0 - 0 -,0,-
Mail,635 38.51%,62 3.76% 11 0.67%,22,1.33%
Early,233 16.71%,36 2.58% 5 0.36%,12,0.86%
Total,993 27.39%,118 3.26% 22 0.61%,42,1.16%
PCT 12,,,,
Polling,55 28.80%,17 8.90% 2 1.05%,1,0.52%
Paper,0 -,0 - 0 -,0,-
Mail,25 31.65%,0 0.00% 0 0.00%,1,1.27%
Early,311 27.30%,32 2.81% 6 0.53%,20,1.76%
Total,391 27.75%,49 3.48% 8 0.57%,22,1.56%
PCT 13,,,,
Polling,62 18.96%,20 6.12% 0 0.00%,7,2.14%
Paper,0 -,0 - 0 -,0,-
Mail,18 40.00%,4 8.89% 0 0.00%,1,2.22%
Early,232 15.64%,44 2.97% 4 0.27%,14,0.94%
Total,312 16.82%,68 3.67% 4 0.22%,22,1.19%
PCT 14,,,,
Polling,157 51.99%,15 4.97% 2 0.66%,4,1.32%
Paper,0 -,0 - 0 -,0,-
Mail,24 40.00%,0 0.00% 0 0.00%,2,3.33%
Early,700 55.21%,49 3.86% 6 0.47%,12,0.95%
Total,881 54.05%,64 3.93% 8 0.49%,18,1.10%
PCT 15,,,,
Polling,83 51.88%,7 4.38% 6 3.75%,2,1.25%
Paper,0 -,0 - 0 -,0,-
Mail,21 41.18%,0 0.00% 0 0.00%,0,0.00%
Early,316 44.26%,27 3.78% 6 0.84%,10,1.40%
Total,420 45.41%,34 3.68% 12 1.30%,12,1.30%
PCT 16,,,,
Polling,167 22.88%,35 4.79% 6 0.82%,30,4.11%
Paper,0 -,0 - 0 -,0,-
Mail,27 31.40%,3 3.49% 0 0.00%,2,2.33%
Early,691 21.75%,110 3.46% 7 0.22%,90,2.83%
Total,885 22.16%,148 3.71% 13 0.33%,122,3.06%
PCT 17,,,,
Polling,92 28.31%,23 7.08% 2 0.62%,6,1.85%
Paper,0 -,0 - 0 -,0,-
Mail,11 33.33%,1 3.03% 0 0.00%,0,0.00%
Early,395 31.00%,47 3.69% 9 0.71%,17,1.33%
Total,498 30.51%,71 4.35% 11 0.67%,23,1.41%
PCT 18,,,,
Polling,23 23.23%,7 7.07% 0 0.00%,2,2.02%
Paper,0 -,0 - 0 -,0,-
Mail,7 46.67%,0 0.00% 0 0.00%,0,0.00%
Early,62 15.78%,11 2.80% 2 0.51%,4,1.02%
Total,92 18.15%,18 3.55% 2 0.39%,6,1.18%
PCT 19,,,,
Polling,47 38.52%,7 5.74% 2 1.64%,3,2.46%
Paper,0 -,0 - 0 -,0,-
Mail,17 43.59%,1 2.56% 0 0.00%,0,0.00%
Early,351 35.17%,52 5.21% 5 0.50%,18,1.80%
Total,415 35.81%,60 5.18% 7 0.60%,21,1.81%
PCT 20,,,,
Polling,29 15.10%,14 7.29% 2 1.04%,7,3.65%
Paper,0 -,0 - 0 -,0,-
Mail,9 60.00%,1 6.67% 0 0.00%,0,0.00%
Early,83 22.31%,11 2.96% 3 0.81%,7,1.88%
"",,President/Vice-President,,
"",Clinton/Kaine (DEM),Johnson/Weld (LIB) Stein/Baraka (GRN),Write-In Votes,
Total,121 20.90%,26 4.49% 5 0.86%,14,2.42%
PCT 21,,,,
Polling,194 42.54%,30 6.58% 6 1.32%,16,3.51%
Paper,0 -,0 - 0 -,0,-
Mail,72 56.25%,2 1.56% 0 0.00%,1,0.78%
Early,904 41.22%,83 3.78% 11 0.50%,26,1.19%
Total,1170 42.13%,115 4.14% 17 0.61%,43,1.55%
PCT 22,,,,
Polling,75 18.70%,15 3.74% 4 1.00%,12,2.99%
Paper,0 -,0 - 0 -,0,-
Mail,12 17.91%,5 7.46% 0 0.00%,0,0.00%
Early,261 15.83%,31 1.88% 7 0.42%,22,1.33%
Total,348 16.44%,51 2.41% 11 0.52%,34,1.61%
PCT 23,,,,
Polling,216 73.22%,16 5.42% 4 1.36%,5,1.69%
Paper,0 -,0 - 0 -,0,-
Mail,12 54.55%,0 0.00% 1 4.55%,0,0.00%
Early,462 64.98%,25 3.52% 8 1.13%,7,0.98%
Total,690 67.12%,41 3.99% 13 1.26%,12,1.17%
PCT 24,,,,
Polling,198 63.06%,15 4.78% 12 3.82%,5,1.59%
Paper,0 -,0 - 0 -,0,-
Mail,48 61.54%,1 1.28% 1 1.28%,2,2.56%
Early,618 63.84%,28 2.89% 4 0.41%,13,1.34%
Total,864 63.53%,44 3.24% 17 1.25%,20,1.47%
PCT 25,,,,
Polling,208 45.12%,23 4.99% 9 1.95%,11,2.39%
Paper,0 -,0 - 0 -,0,-
Mail,33 48.53%,4 5.88% 0 0.00%,1,1.47%
Early,1227 43.33%,99 3.50% 21 0.74%,63,2.22%
Total,1468 43.68%,126 3.75% 30 0.89%,75,2.23%
PCT 26,,,,
Polling,87 46.03%,15 7.94% 3 1.59%,2,1.06%
Paper,0 -,0 - 0 -,0,-
Mail,21 51.22%,3 7.32% 0 0.00%,0,0.00%
Early,254 36.81%,23 3.33% 5 0.72%,6,0.87%
Total,362 39.35%,41 4.46% 8 0.87%,8,0.87%
PCT 27,,,,
Polling,93 37.20%,21 8.40% 4 1.60%,3,1.20%
Paper,0 -,0 - 0 -,0,-
Mail,16 29.63%,3 5.56% 0 0.00%,1,1.85%
Early,458 33.60%,59 4.33% 5 0.37%,27,1.98%
Total,567 34.01%,83 4.98% 9 0.54%,31,1.86%
PCT 28,,,,
Polling,136 52.71%,25 9.69% 1 0.39%,4,1.55%
Paper,0 -,0 - 0 -,0,-
Mail,23 38.33%,3 5.00% 0 0.00%,5,8.33%
Early,577 41.69%,48 3.47% 9 0.65%,29,2.10%
Total,736 43.24%,76 4.47% 10 0.59%,38,2.23%
PCT 29,,,,
Polling,21 25.00%,6 7.14% 1 1.19%,8,9.52%
Paper,0 -,0 - 0 -,0,-
Mail,3 27.27%,0 0.00% 0 0.00%,0,0.00%
Early,98 21.59%,29 6.39% 2 0.44%,7,1.54%
Total,122 22.22%,35 6.38% 3 0.55%,15,2.73%
PCT 30,,,,
Polling,178 30.53%,35 6.00% 12 2.06%,19,3.26%
Paper,0 -,0 - 0 -,0,-
Mail,47 44.76%,5 4.76% 0 0.00%,0,0.00%
Early,929 35.40%,84 3.20% 25 0.95%,65,2.48%
"",,President/Vice-President,,
"",Clinton/Kaine (DEM),Johnson/Weld (LIB) Stein/Baraka (GRN),Write-In Votes,
Total,1154 34.84%,124 3.74% 37 1.12%,84,2.54%
PCT 31,,,,
Polling,68 37.16%,14 7.65% 2 1.09%,7,3.83%
Paper,0 -,0 - 0 -,0,-
Mail,31 57.41%,2 3.70% 1 1.85%,0,0.00%
Early,461 35.76%,40 3.10% 14 1.09%,22,1.71%
Total,560 36.70%,56 3.67% 17 1.11%,29,1.90%
PCT 32,,,,
Polling,93 40.79%,14 6.14% 4 1.75%,3,1.32%
Paper,0 -,0 - 0 -,0,-
Mail,39 51.32%,1 1.32% 0 0.00%,1,1.32%
Early,513 35.63%,73 5.07% 14 0.97%,21,1.46%
Total,645 36.98%,88 5.05% 18 1.03%,25,1.43%
PCT 33,,,,
Polling,104 23.21%,33 7.37% 4 0.89%,9,2.01%
Paper,0 -,0 - 0 -,0,-
Mail,6 10.91%,2 3.64% 0 0.00%,1,1.82%
Early,372 21.63%,52 3.02% 8 0.47%,18,1.05%
Total,482 21.68%,87 3.91% 12 0.54%,28,1.26%
PCT 34,,,,
Polling,180 51.43%,13 3.71% 4 1.14%,5,1.43%
Paper,0 -,0 - 0 -,0,-
Mail,65 60.75%,4 3.74% 0 0.00%,0,0.00%
Early,1202 53.59%,50 2.23% 21 0.94%,21,0.94%
Total,1447 53.59%,67 2.48% 25 0.93%,26,0.96%
PCT 35,,,,
Polling,30 15.79%,6 3.16% 1 0.53%,2,1.05%
Paper,0 -,0 - 0 -,0,-
Mail,1 3.85%,1 3.85% 0 0.00%,0,0.00%
Early,97 15.30%,16 2.52% 1 0.16%,3,0.47%
Total,128 15.06%,23 2.71% 2 0.24%,5,0.59%
PCT 36,,,,
Polling,48 26.67%,13 7.22% 2 1.11%,3,1.67%
Paper,0 -,0 - 0 -,0,-
Mail,27 54.00%,1 2.00% 0 0.00%,2,4.00%
Early,418 35.33%,36 3.04% 4 0.34%,21,1.78%
Total,493 34.89%,50 3.54% 6 0.42%,26,1.84%
PCT 37,,,,
Polling,46 9.96%,19 4.11% 1 0.22%,4,0.87%
Paper,0 -,0 - 0 -,0,-
Mail,4 12.50%,3 9.38% 0 0.00%,0,0.00%
Early,99 15.11%,12 1.83% 0 0.00%,3,0.46%
Total,149 12.97%,34 2.96% 1 0.09%,7,0.61%
PCT 38,,,,
Polling,234 37.44%,37 5.92% 9 1.44%,21,3.36%
Paper,0 -,0 - 0 -,0,-
Mail,34 35.05%,4 4.12% 0 0.00%,0,0.00%
Early,1208 43.00%,89 3.17% 20 0.71%,48,1.71%
Total,1476 41.80%,130 3.68% 29 0.82%,69,1.95%
PCT 39,,,,
Polling,178 48.24%,19 5.15% 9 2.44%,6,1.63%
Paper,0 -,0 - 0 -,0,-
Mail,27 46.55%,3 5.17% 0 0.00%,0,0.00%
Early,660 47.97%,54 3.92% 16 1.16%,15,1.09%
Total,865 47.98%,76 4.22% 25 1.39%,21,1.16%
PCT 40,,,,
Polling,92 29.87%,43 13.96% 5 1.62%,7,2.27%
Paper,0 -,0 - 0 -,0,-
Mail,31 37.80%,3 3.66% 0 0.00%,3,3.66%
Early,519 26.37%,92 4.67% 16 0.81%,35,1.78%
"",,President/Vice-President,,
"",Clinton/Kaine (DEM),Johnson/Weld (LIB) Stein/Baraka (GRN),Write-In Votes,
Total,642 27.23%,138 5.85% 21 0.89%,45,1.91%
PCT 41,,,,
Polling,74 20.61%,23 6.41% 2 0.56%,13,3.62%
Paper,0 -,0 - 0 -,0,-
Mail,15 21.43%,5 7.14% 1 1.43%,2,2.86%
Early,323 21.63%,56 3.75% 4 0.27%,18,1.21%
Total,412 21.44%,84 4.37% 7 0.36%,33,1.72%
PCT 42,,,,
Polling,75 20.66%,14 3.86% 2 0.55%,2,0.55%
Paper,0 -,0 - 0 -,0,-
Mail,84 48.55%,12 6.94% 0 0.00%,1,0.58%
Early,98 19.52%,13 2.59% 2 0.40%,4,0.80%
Total,257 24.76%,39 3.76% 4 0.39%,7,0.67%
PCT 43,,,,
Polling,239 38.86%,31 5.04% 11 1.79%,16,2.60%
Paper,0 -,0 - 0 -,0,-
Mail,36 55.38%,1 1.54% 0 0.00%,1,1.54%
Early,1078 45.18%,78 3.27% 22 0.92%,39,1.63%
Total,1353 44.13%,110 3.59% 33 1.08%,56,1.83%
PCT 44,,,,
Polling,89 51.15%,10 5.75% 3 1.72%,3,1.72%
Paper,0 -,0 - 0 -,0,-
Mail,17 47.22%,0 0.00% 0 0.00%,0,0.00%
Early,230 42.28%,26 4.78% 5 0.92%,4,0.74%
Total,336 44.56%,36 4.77% 8 1.06%,7,0.93%
PCT 45,,,,
Polling,87 33.59%,13 5.02% 6 2.32%,4,1.54%
Paper,0 -,0 - 0 -,0,-
Mail,37 42.05%,5 5.68% 0 0.00%,3,3.41%
Early,412 32.06%,45 3.50% 9 0.70%,18,1.40%
Total,536 32.84%,63 3.86% 15 0.92%,25,1.53%
PCT 46,,,,
Polling,187 57.54%,18 5.54% 12 3.69%,7,2.15%
Paper,0 -,0 - 0 -,0,-
Mail,46 65.71%,0 0.00% 0 0.00%,2,2.86%
Early,652 52.08%,50 3.99% 8 0.64%,19,1.52%
Total,885 53.73%,68 4.13% 20 1.21%,28,1.70%
PCT 47,,,,
Polling,134 43.79%,26 8.50% 4 1.31%,7,2.29%
Paper,0 -,0 - 0 -,0,-
Mail,27 51.92%,1 1.92% 0 0.00%,0,0.00%
Early,532 40.95%,59 4.54% 14 1.08%,25,1.92%
Total,693 41.82%,86 5.19% 18 1.09%,32,1.93%
PCT 48,,,,
Polling,183 40.85%,41 9.15% 2 0.45%,9,2.01%
Paper,0 -,0 - 0 -,0,-
Mail,47 46.08%,2 1.96% 0 0.00%,1,0.98%
Early,672 42.59%,56 3.55% 12 0.76%,28,1.77%
Total,902 42.39%,99 4.65% 14 0.66%,38,1.79%
PCT 49,,,,
Polling,56 37.33%,8 5.33% 4 2.67%,4,2.67%
Paper,0 -,0 - 0 -,0,-
Mail,72 39.34%,1 0.55% 1 0.55%,2,1.09%
Early,441 34.03%,47 3.63% 4 0.31%,20,1.54%
Total,569 34.93%,56 3.44% 9 0.55%,26,1.60%
PCT 50,,,,
Polling,207 62.54%,16 4.83% 11 3.32%,6,1.81%
Paper,0 -,0 - 0 -,0,-
Mail,25 64.10%,2 5.13% 0 0.00%,0,0.00%
Early,719 63.35%,22 1.94% 11 0.97%,24,2.11%
"",,President/Vice-President,,
"",Clinton/Kaine (DEM),Johnson/Weld (LIB) Stein/Baraka (GRN),Write-In Votes,
Total,951 63.19%,40 2.66% 22 1.46%,30,1.99%
PCT 51,,,,
Polling,122 57.82%,16 7.58% 5 2.37%,6,2.84%
Paper,0 -,0 - 0 -,0,-
Mail,15 78.95%,0 0.00% 0 0.00%,0,0.00%
Early,342 53.27%,26 4.05% 2 0.31%,9,1.40%
Total,479 54.93%,42 4.82% 7 0.80%,15,1.72%
PCT 52,,,,
Polling,283 56.37%,27 5.38% 7 1.39%,6,1.20%
Paper,0 -,0 - 0 -,0,-
Mail,25 64.10%,1 2.56% 1 2.56%,0,0.00%
Early,925 61.75%,34 2.27% 9 0.60%,23,1.54%
Total,1233 60.47%,62 3.04% 17 0.83%,29,1.42%
PCT 53,,,,
Polling,67 36.61%,11 6.01% 3 1.64%,5,2.73%
Paper,0 -,0 - 0 -,0,-
Mail,40 46.51%,2 2.33% 0 0.00%,1,1.16%
Early,470 36.52%,57 4.43% 5 0.39%,24,1.86%
Total,577 37.08%,70 4.50% 8 0.51%,30,1.93%
PCT 54,,,,
Polling,202 50.25%,33 8.21% 12 2.99%,9,2.24%
Paper,0 -,0 - 0 -,0,-
Mail,25 44.64%,2 3.57% 0 0.00%,0,0.00%
Early,719 54.14%,60 4.52% 13 0.98%,21,1.58%
Total,946 52.97%,95 5.32% 25 1.40%,30,1.68%
PCT 55,,,,
Polling,209 48.60%,33 7.67% 11 2.56%,12,2.79%
Paper,0 -,0 - 0 -,0,-
Mail,53 52.48%,2 1.98% 3 2.97%,2,1.98%
Early,594 47.90%,77 6.21% 15 1.21%,34,2.74%
Total,856 48.33%,112 6.32% 29 1.64%,48,2.71%
PCT 56,,,,
Polling,255 33.69%,45 5.94% 7 0.92%,10,1.32%
Paper,0 -,0 - 0 -,0,-
Mail,39 37.50%,3 2.88% 1 0.96%,1,0.96%
Early,1006 29.19%,150 4.35% 21 0.61%,71,2.06%
Total,1300 30.18%,198 4.60% 29 0.67%,82,1.90%
PCT 57,,,,
Polling,203 43.28%,24 5.12% 4 0.85%,14,2.99%
Paper,0 -,0 - 0 -,0,-
Mail,33 36.26%,0 0.00% 0 0.00%,3,3.30%
Early,800 36.85%,88 4.05% 25 1.15%,44,2.03%
Total,1036 37.93%,112 4.10% 29 1.06%,61,2.23%
PCT 58,,,,
Polling,169 46.17%,14 3.83% 5 1.37%,7,1.91%
Paper,0 -,0 - 0 -,0,-
Mail,66 46.48%,4 2.82% 2 1.41%,7,4.93%
Early,805 47.10%,58 3.39% 6 0.35%,19,1.11%
Total,1040 46.91%,76 3.43% 13 0.59%,33,1.49%
PCT 59,,,,
Polling,164 39.33%,29 6.95% 8 1.92%,6,1.44%
Paper,0 -,0 - 0 -,0,-
Mail,22 42.31%,0 0.00% 0 0.00%,2,3.85%
Early,714 34.38%,84 4.04% 7 0.34%,33,1.59%
Total,900 35.35%,113 4.44% 15 0.59%,41,1.61%
PCT 60,,,,
Polling,36 17.91%,8 3.98% 2 1.00%,2,1.00%
Paper,0 -,0 - 0 -,0,-
Mail,23 33.82%,4 5.88% 1 1.47%,3,4.41%
Early,315 25.61%,41 3.33% 3 0.24%,20,1.63%
"",,President/Vice-President,,
"",Clinton/Kaine (DEM),Johnson/Weld (LIB) Stein/Baraka (GRN),Write-In Votes,
Total,374 24.95%,53 3.54% 6 0.40%,25,1.67%
PCT 61,,,,
Polling,76 39.18%,15 7.73% 3 1.55%,6,3.09%
Paper,0 -,0 - 0 -,0,-
Mail,24 47.06%,2 3.92% 0 0.00%,0,0.00%
Early,329 35.15%,21 2.24% 6 0.64%,8,0.85%
Total,429 36.33%,38 3.22% 9 0.76%,14,1.19%
PCT 62,,,,
Polling,160 48.63%,17 5.17% 3 0.91%,14,4.26%
Paper,0 -,0 - 0 -,0,-
Mail,23 41.07%,0 0.00% 0 0.00%,0,0.00%
Early,554 44.97%,65 5.28% 12 0.97%,12,0.97%
Total,737 45.58%,82 5.07% 15 0.93%,26,1.61%
PCT 63,,,,
Polling,62 34.25%,12 6.63% 0 0.00%,6,3.31%
Paper,0 -,0 - 0 -,0,-
Mail,52 59.09%,1 1.14% 0 0.00%,1,1.14%
Early,419 34.57%,36 2.97% 6 0.50%,21,1.73%
Total,533 35.99%,49 3.31% 6 0.41%,28,1.89%
PCT 64,,,,
Polling,143 49.65%,15 5.21% 5 1.74%,8,2.78%
Paper,0 -,0 - 0 -,0,-
Mail,26 36.11%,3 4.17% 1 1.39%,1,1.39%
Early,642 45.60%,65 4.62% 10 0.71%,25,1.78%
Total,811 45.87%,83 4.69% 16 0.90%,34,1.92%
PCT 65,,,,
Polling,40 42.55%,5 5.32% 2 2.13%,4,4.26%
Paper,0 -,0 - 0 -,0,-
Mail,14 63.64%,0 0.00% 0 0.00%,0,0.00%
Early,246 36.77%,21 3.14% 7 1.05%,10,1.49%
Total,300 38.22%,26 3.31% 9 1.15%,14,1.78%
PCT 66,,,,
Polling,106 42.74%,18 7.26% 5 2.02%,8,3.23%
Paper,0 -,0 - 0 -,0,-
Mail,10 25.64%,3 7.69% 0 0.00%,3,7.69%
Early,424 41.65%,44 4.32% 6 0.59%,15,1.47%
Total,540 41.38%,65 4.98% 11 0.84%,26,1.99%
PCT 67,,,,
Polling,87 41.23%,10 4.74% 6 2.84%,8,3.79%
Paper,0 -,0 - 0 -,0,-
Mail,28 37.84%,0 0.00% 1 1.35%,3,4.05%
Early,515 42.04%,40 3.27% 8 0.65%,30,2.45%
Total,630 41.72%,50 3.31% 15 0.99%,41,2.72%
PCT 68,,,,
Polling,107 49.54%,19 8.80% 5 2.31%,5,2.31%
Paper,0 -,0 - 0 -,0,-
Mail,21 37.50%,1 1.79% 0 0.00%,0,0.00%
Early,369 40.11%,35 3.80% 12 1.30%,18,1.96%
Total,497 41.69%,55 4.61% 17 1.43%,23,1.93%
PCT 69,,,,
Polling,110 41.35%,15 5.64% 4 1.50%,9,3.38%
Paper,0 -,0 - 0 -,0,-
Mail,57 50.44%,3 2.65% 0 0.00%,2,1.77%
Early,900 40.43%,84 3.77% 17 0.76%,27,1.21%
Total,1067 40.96%,102 3.92% 21 0.81%,38,1.46%
PCT 70,,,,
Polling,71 37.37%,8 4.21% 3 1.58%,2,1.05%
Paper,0 -,0 - 0 -,0,-
Mail,21 45.65%,2 4.35% 0 0.00%,0,0.00%
Early,374 34.22%,38 3.48% 4 0.37%,17,1.56%
"",,President/Vice-President,,
"",Clinton/Kaine (DEM),Johnson/Weld (LIB) Stein/Baraka (GRN),Write-In Votes,
Total,466 35.06%,48 3.61% 7 0.53%,19,1.43%
PCT 71,,,,
Polling,52 43.33%,12 10.00% 2 1.67%,2,1.67%
Paper,0 -,0 - 0 -,0,-
Mail,16 36.36%,0 0.00% 1 2.27%,0,0.00%
Early,414 39.85%,41 3.95% 5 0.48%,16,1.54%
Total,482 40.07%,53 4.41% 8 0.67%,18,1.50%
PCT 72,,,,
Polling,71 39.66%,14 7.82% 4 2.23%,8,4.47%
Paper,0 -,0 - 0 -,0,-
Mail,20 35.09%,2 3.51% 0 0.00%,0,0.00%
Early,313 38.64%,32 3.95% 7 0.86%,7,0.86%
Total,404 38.62%,48 4.59% 11 1.05%,15,1.43%
PCT 73,,,,
Polling,103 56.59%,9 4.95% 1 0.55%,4,2.20%
Paper,0 -,0 - 0 -,0,-
Mail,24 77.42%,0 0.00% 0 0.00%,0,0.00%
Early,478 56.70%,24 2.85% 12 1.42%,14,1.66%
Total,605 57.29%,33 3.13% 13 1.23%,18,1.70%
PCT 74,,,,
Polling,75 46.01%,13 7.98% 2 1.23%,5,3.07%
Paper,0 -,0 - 0 -,0,-
Mail,14 40.00%,0 0.00% 0 0.00%,0,0.00%
Early,416 44.11%,35 3.71% 3 0.32%,15,1.59%
Total,505 44.26%,48 4.21% 5 0.44%,20,1.75%
PCT 75,,,,
Polling,65 35.91%,5 2.76% 0 0.00%,6,3.31%
Paper,0 -,0 - 0 -,0,-
Mail,62 42.76%,6 4.14% 6 4.14%,2,1.38%
Early,320 31.25%,30 2.93% 5 0.49%,16,1.56%
Total,447 33.11%,41 3.04% 11 0.81%,24,1.78%
PCT 76,,,,
Polling,127 47.21%,23 8.55% 3 1.12%,8,2.97%
Paper,0 -,0 - 0 -,0,-
Mail,50 54.35%,4 4.35% 0 0.00%,3,3.26%
Early,706 37.28%,65 3.43% 14 0.74%,33,1.74%
Total,883 39.16%,92 4.08% 17 0.75%,44,1.95%
PCT 77,,,,
Polling,170 48.85%,26 7.47% 3 0.86%,5,1.44%
Paper,0 -,0 - 0 -,0,-
Mail,44 51.76%,0 0.00% 1 1.18%,2,2.35%
Early,907 49.86%,55 3.02% 6 0.33%,21,1.15%
Total,1121 49.78%,81 3.60% 10 0.44%,28,1.24%
PCT 78,,,,
Polling,105 39.62%,16 6.04% 5 1.89%,7,2.64%
Paper,0 -,0 - 0 -,0,-
Mail,28 38.36%,0 0.00% 0 0.00%,4,5.48%
Early,490 42.06%,43 3.69% 5 0.43%,28,2.40%
Total,623 41.45%,59 3.93% 10 0.67%,39,2.59%
PCT 79,,,,
Polling,127 50.40%,9 3.57% 3 1.19%,7,2.78%
Paper,0 -,0 - 0 -,0,-
Mail,37 61.67%,0 0.00% 0 0.00%,1,1.67%
Early,527 43.23%,36 2.95% 3 0.25%,23,1.89%
Total,691 45.13%,45 2.94% 6 0.39%,31,2.02%
PCT 80,,,,
Polling,169 44.71%,24 6.35% 8 2.12%,5,1.32%
Paper,0 -,0 - 0 -,0,-
Mail,32 50.00%,1 1.56% 0 0.00%,2,3.13%
Early,739 39.62%,71 3.81% 14 0.75%,34,1.82%
"",,President/Vice-President,,
"",Clinton/Kaine (DEM),Johnson/Weld (LIB) Stein/Baraka (GRN),Write-In Votes,
Total,940 40.75%,96 4.16% 22 0.95%,41,1.78%
PCT 81,,,,
Polling,127 49.22%,15 5.81% 5 1.94%,10,3.88%
Paper,0 -,0 - 0 -,0,-
Mail,45 75.00%,2 3.33% 0 0.00%,0,0.00%
Early,706 47.10%,61 4.07% 4 0.27%,40,2.67%
Total,878 48.32%,78 4.29% 9 0.50%,50,2.75%
PCT 82,,,,
Polling,124 40.00%,15 4.84% 10 3.23%,6,1.94%
Paper,0 -,0 - 0 -,0,-
Mail,40 34.19%,4 3.42% 0 0.00%,0,0.00%
Early,477 40.12%,50 4.21% 11 0.93%,15,1.26%
Total,641 39.67%,69 4.27% 21 1.30%,21,1.30%
PCT 83,,,,
Polling,145 29.00%,31 6.20% 9 1.80%,13,2.60%
Paper,0 -,0 - 0 -,0,-
Mail,31 35.23%,6 6.82% 1 1.14%,2,2.27%
Early,625 27.44%,68 2.99% 16 0.70%,36,1.58%
Total,801 27.95%,105 3.66% 26 0.91%,51,1.78%
PCT 84,,,,
Polling,128 41.29%,23 7.42% 4 1.29%,6,1.94%
Paper,0 -,0 - 0 -,0,-
Mail,27 48.21%,0 0.00% 0 0.00%,3,5.36%
Early,519 43.83%,30 2.53% 6 0.51%,16,1.35%
Total,674 43.48%,53 3.42% 10 0.65%,25,1.61%
PCT 85,,,,
Polling,148 46.25%,18 5.63% 2 0.63%,6,1.88%
Paper,0 -,0 - 0 -,0,-
Mail,41 52.56%,1 1.28% 1 1.28%,1,1.28%
Early,735 47.57%,53 3.43% 10 0.65%,26,1.68%
Total,924 47.56%,72 3.71% 13 0.67%,33,1.70%
PCT 86,,,,
Polling,95 39.42%,14 5.81% 3 1.24%,7,2.90%
Paper,0 -,0 - 0 -,0,-
Mail,29 38.67%,3 4.00% 0 0.00%,2,2.67%
Early,637 40.99%,54 3.47% 9 0.58%,28,1.80%
